Label,TokenName,TokenAddress,Chain,FromBlock,ToBlock,BlockNumber,TxHash,From,To,GasUsed,EffectiveGasPriceWei,L2FeeWei,L1FeeWei,BlobFeeWei,TotalFeeWei
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223182,0x7ccf9b95cf34ea2e81d0488f134f9cfb9d091c042659815f7ef3c92133f7700f,0xf6b3422e3cc70fa9fce4fab9a706ed2497c7bb9e,0x0b2c639c533813f4aa9d7837caf62653d097ff85,45059,5000347,225310635473,1632392954,0,226943028427
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223179,0x5abc78cf13f03a28d88e8ef044387f4a19bccb59741067dc489d15353cf0db6f,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0x0b2c639c533813f4aa9d7837caf62653d097ff85,62689,358,22442662,1726825674,0,1749268336
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223178,0xd29abb9b5796b23f2ed8734e844ab6117faae09ad828c7d8626830fcd1f39645,0xf6b3422e3cc70fa9fce4fab9a706ed2497c7bb9e,0x0b2c639c533813f4aa9d7837caf62653d097ff85,45059,5000347,225310635473,1539514486,0,226850149959
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223173,0x4bbbb5440309d9e18a7aa92a8329a01706d703f3e776285272376740fac4055f,0xfa359a13827f3b41c8b66ae5fa5856dffd377182,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40283,1100347,44325278201,1605445263,0,45930723464
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223173,0x65d5d82ef9e029286f50f23970ad29b31532e775464f5557dab3d155a79b3ae3,0x742024e9e822b2a9e824c45266cf39d31c3c8019,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40283,1100347,44325278201,1605445263,0,45930723464
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223172,0x419b2967856d2dd53c7c201cbc7949446fccfe09c8a5853c65786686ce74c7b1,0xf6b3422e3cc70fa9fce4fab9a706ed2497c7bb9e,0x0b2c639c533813f4aa9d7837caf62653d097ff85,45071,5000347,225370639637,1605445263,0,226976084900
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223009,151223508,151223092,0xb5213c36f27ecf7954962ab6ee1ee63c94180ca9eb4d75f13b8a7fae5d8f439a,0xbc3922a0b1b67c30daddc8c9e22171b7a54f29bb,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40259,349,14050391,1498026726,0,1512077117
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223009,151223508,151223076,0xb576377366fdde057bef956fd93a915de26160789707f03dfe4603f44d0fb291,0xf6b3422e3cc70fa9fce4fab9a706ed2497c7bb9e,0x0b2c639c533813f4aa9d7837caf62653d097ff85,45059,5000343,225310455237,1536944584,0,226847399821
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151222909,151223508,151222981,0xc7eaca94a2ccad78005758782ed121a248eecdd8621efde4c94d52cf6ccbf47e,0xf6b3422e3cc70fa9fce4fab9a706ed2497c7bb9e,0x0b2c639c533813f4aa9d7837caf62653d097ff85,45059,5000348,225310680532,1551468372,0,226862148904
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151222909,151223508,151222981,0x73ff711b24b446b9da9a3e2858e95fcfa88d30f7a2e1b3840f1ca43c1cea8a73,0xf6b3422e3cc70fa9fce4fab9a706ed2497c7bb9e,0x0b2c639c533813f4aa9d7837caf62653d097ff85,45059,5000348,225310680532,1551468372,0,226862148904
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151222909,151223508,151222981,0x1061a8b86aac2725b1e048a9a4511fa4071d4b94227057dcda3c7b8d738033fe,0xf6b3422e3cc70fa9fce4fab9a706ed2497c7bb9e,0x0b2c639c533813f4aa9d7837caf62653d097ff85,62159,5000348,310816631332,1551468372,0,312368099704
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151222909,151223508,151222981,0xcba6651d19b0488c8d00252bca63915e8ad08badeafeda7872c590a3c9bfde82,0xf6b3422e3cc70fa9fce4fab9a706ed2497c7bb9e,0x0b2c639c533813f4aa9d7837caf62653d097ff85,45059,5000348,225310680532,1551468372,0,226862148904
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151222909,151223508,151222981,0x8d9b172965eb61c1c850b86b85d577fe3280dc61bc0b21896a4b980bbd83110e,0xf6b3422e3cc70fa9fce4fab9a706ed2497c7bb9e,0x0b2c639c533813f4aa9d7837caf62653d097ff85,45047,5000348,225250676356,1551468372,0,226802144728
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151222909,151223508,151222981,0x149967f75eb7fb76f40115ed368f0e542a5afa608d23db76e0d462c545bcdcdf,0xf6b3422e3cc70fa9fce4fab9a706ed2497c7bb9e,0x0b2c639c533813f4aa9d7837caf62653d097ff85,45059,5000348,225310680532,1551468372,0,226862148904
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151222909,151223508,151222981,0xd1f8df06410db768792c08145802964e7b976ac8f54eef594fa6fd977e456166,0xf6b3422e3cc70fa9fce4fab9a706ed2497c7bb9e,0x0b2c639c533813f4aa9d7837caf62653d097ff85,45059,5000348,225310680532,1551468372,0,226862148904
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151222909,151223508,151222980,0x5656f3ce768be3d8ad11e35de99c4161417b87814bf928455147401568c89d52,0xf6b3422e3cc70fa9fce4fab9a706ed2497c7bb9e,0x0b2c639c533813f4aa9d7837caf62653d097ff85,45059,5000349,225310725591,1551468372,0,226862193963
